transaction_id,customer_id,date,amount,currency,movement,status,card_present_flag,txn_description,extraction,merchant_id,merchant_code,merchant_suburb,merchant_state,merchant_long_lat,bpay_biller_code
9d7cedcc3b014a26b7b89fc29576cbb9,CUS-3702001629,10/1/2018,61.0,AUD,debit,posted,,PAYMENT,2018-10-01T20:00:00.000+0000,,,,,,
cd8bcb85c55846b39224c9f05209ff38,CUS-4023861240,10/1/2018,2538.68,AUD,credit,posted,,PAY/SALARY,2018-10-01T17:00:00.000+0000,,0.0,,,,0
03113a53f7cf4e009d544e471703b5d4,CUS-3378712515,10/1/2018,53.0,AUD,debit,posted,,PAYMENT,2018-10-01T17:00:00.000+0000,,,,,,
c81f9f37aec04c32878ae748e7088b70,CUS-1928710999,10/1/2018,36.0,AUD,debit,posted,,PAYMENT,2018-10-01T17:00:00.000+0000,,,,,,
09868f2c1b8e49ad978145c6b491787d,CUS-537508723,10/1/2018,12.71,AUD,debit,authorized,1.0,POS,2018-10-01T16:30:22.000+0000,695d537e-8079-4c0c-80c8-caaea7a5de2b,,Melbourne,VIC,144.98 -37.85,
96c6ee333f6e4831b354b18944b387bc,CUS-2059096722,10/1/2018,7.61,AUD,debit,authorized,0.0,POS,2018-10-01T15:55:48.000+0000,7736a415-bf5b-4555-867c-0129250d5a90,,South Townsville,QLD,146.82 -19.26,
9f030193557445509543ec1d09a5c9cd,CUS-860700529,10/1/2018,10.11,AUD,debit,authorized,1.0,POS,2018-10-01T15:32:33.000+0000,b4b672c9-9ffa-470d-b3ba-cf52dd6819aa,,Coorparoo,QLD,153.06 -27.5,
ac300efb115943338d644611a164c168,CUS-1196156254,10/1/2018,103.06,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T15:09:18.000+0000,7eedce4e-a959-4b13-b9ab-314071f88f3a,,O'Malley,ACT,149.11 -35.35,
dc563fffa6a04c37b871bc4148a19e81,CUS-2500783281,10/1/2018,22.0,AUD,debit,posted,,PAYMENT,2018-10-01T15:00:00.000+0000,,,,,,
cc47c4b329ae4a9ba13803455530a096,CUS-51506836,10/1/2018,17.35,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T14:43:19.000+0000,9f1d4304-e450-4d61-a214-0ed98ea70355,,Browns Plains,QLD,153.05 -27.66,
897ab5cfb0b740a0801a84c5a2fa8ddc,CUS-860700529,10/1/2018,13.55,AUD,debit,authorized,1.0,POS,2018-10-01T14:15:33.000+0000,e27a3a9f-223b-4c98-ac9c-4e9add0926e8,,Fortitude Valley,QLD,153.04 -27.45,
37539242f2b0419fb0387523103c54d8,CUS-4142663097,10/1/2018,168.0,AUD,debit,posted,,PAYMENT,2018-10-01T17:00:00.000+0000,,,,,,
9305ea032f5c4547b03ddac605e6340f,CUS-55310383,10/1/2018,1636.72,AUD,credit,posted,,PAY/SALARY,2018-10-01T14:00:00.000+0000,,0.0,,,,0
3a68f6aef9924e7e8e69c1b3eb94f33f,CUS-2031327464,10/1/2018,2280.36,AUD,credit,posted,,PAY/SALARY,2018-10-01T14:00:00.000+0000,,0.0,,,,0
089747d5a4624dffaae3aeaa852b6df8,CUS-1117979751,10/1/2018,40.0,AUD,debit,posted,,PAYMENT,2018-10-01T14:00:00.000+0000,,,,,,
1cbd6bc0653e42a1836ade8c1e8c16fc,CUS-3026014945,10/1/2018,104.0,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T13:49:16.000+0000,b6de0992-2609-47ec-b6a5-d6e4f65a51a0,,Balcatta,WA,115.81 -31.86,
1cfefa8d1d1b40b68c2b5c0150afd4fc,CUS-2142601169,10/1/2018,26.53,AUD,debit,authorized,1.0,POS,2018-10-01T13:24:52.000+0000,176a01ec-0cd5-4763-88e5-563d120ed7ad,,Brisbane City,QLD,153.02 -27.47,
02605724ab7a4ef7a85d0c4d5e7c1691,CUS-1816693151,10/1/2018,35.96,AUD,debit,authorized,1.0,POS,2018-10-01T13:00:29.000+0000,0354f2a7-56b2-4339-8cd3-0c9ac54eb387,,East Fremantle,WA,115.77 -32.04,
f05b6db11c334ae3a217da8d2a7b5699,CUS-443776336,10/1/2018,990.55,AUD,credit,posted,,PAY/SALARY,2018-10-01T13:00:00.000+0000,,0.0,,,,0
9348cf8a727b4a1daff261cfef8369e0,CUS-3378712515,10/1/2018,1059.84,AUD,credit,posted,,PAY/SALARY,2018-10-01T13:00:00.000+0000,,0.0,,,,0
d9994094548141218aad0a07dee19175,CUS-3255104878,10/1/2018,664.43,AUD,credit,posted,,PAY/SALARY,2018-10-01T13:00:00.000+0000,,0.0,,,,0
f9b95ada28534d2d9b3a35e71b2c75fb,CUS-3180318393,10/1/2018,1396.23,AUD,credit,posted,,PAY/SALARY,2018-10-01T13:00:00.000+0000,,0.0,,,,0
bb51c88d3ca4407b999ad0e73e7ec26d,CUS-3142625864,10/1/2018,2588.01,AUD,credit,posted,,PAY/SALARY,2018-10-01T13:00:00.000+0000,,0.0,,,,0
1967e3a2acd34eed8b83bf2b073cf2f6,CUS-2663907001,10/1/2018,20.0,AUD,debit,posted,,PAYMENT,2018-10-01T14:00:00.000+0000,,,,,,
1e62db12cf774745817a93ad8a85fddb,CUS-2819545904,10/1/2018,3231.26,AUD,credit,posted,,PAY/SALARY,2018-10-01T13:00:00.000+0000,,0.0,,,,0
fd601d147cb144279b862f83dce3f72a,CUS-883482547,10/1/2018,3977.46,AUD,credit,posted,,PAY/SALARY,2018-10-01T17:00:00.000+0000,,0.0,,,,0
89eaff402c8a445fab644c291b45660f,CUS-3431016847,10/1/2018,7.66,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T17:49:59.000+0000,0bb3f6d5-ed4b-4ec2-8666-7989564d231d,,Rose Bay,NSW,151.26 -33.88,
f077102cbe80453eabf96683eafc8496,CUS-2142601169,10/1/2018,29.57,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T00:23:19.000+0000,7163ba4e-86e2-4146-b5e1-033b0a1d43d2,,Melbourne,VIC,144.98 -37.84,
0cddc5c53a6e4681ace11ba559f444ec,CUS-1646621553,10/1/2018,21.74,AUD,debit,authorized,1.0,POS,2018-10-01T23:30:31.000+0000,428f9cbe-9d7a-41b8-af5b-a9fa0cf63866,,Coorabie,SA,132.23 -31.79,
9ea3fa4cc85840779806ab7d1db8ac1a,CUS-880898248,10/1/2018,61.0,AUD,debit,posted,,PAYMENT,2018-10-01T23:00:00.000+0000,,,,,,
429e76b88ac54439a2f0ad6bef3627e1,CUS-1739931018,10/1/2018,20.0,AUD,debit,posted,,INTER BANK,2018-10-01T23:00:00.000+0000,,,,,,
48905f6a2133480f938bf1b4bda519ab,CUS-1233833708,10/1/2018,157.0,AUD,debit,posted,,PAYMENT,2018-10-01T23:00:00.000+0000,,,,,,
488a9173053b43358fde38519bcbd5e5,CUS-537508723,10/1/2018,7.8,AUD,debit,authorized,1.0,POS,2018-10-01T22:54:14.000+0000,0fad5ec9-8473-466d-9892-b4702214d476,,Melbourne,VIC,144.96 -37.81,
8f66c2538ab740aaba4c43cb6acd44ba,CUS-1617121891,10/1/2018,28.02,AUD,debit,authorized,1.0,POS,2018-10-01T22:40:32.000+0000,85f205ca-dc6b-43f4-b081-859a27457643,,Balcatta,WA,115.81 -31.86,
23fdfecbb9104de38fcfdbc19cb3bd18,CUS-2695611575,10/1/2018,16.91,AUD,debit,authorized,1.0,POS,2018-10-01T22:26:50.000+0000,4e074599-4aba-43e9-a16d-315313a92f8e,,Varsity Lakes,QLD,153.42 -28.1,
e1e0b8f49ceb4383939699d36db9cf36,CUS-3026014945,10/1/2018,33.21,AUD,debit,authorized,1.0,POS,2018-10-01T22:13:09.000+0000,0fc83e0d-c2a1-4a6d-a5d0-fdc4ac5c446c,,Spearwood,WA,115.78 -32.1,
e852299c6e334e57b5b90d665fb0e855,CUS-443776336,10/1/2018,31.0,AUD,debit,posted,,PAYMENT,2018-10-01T22:00:00.000+0000,,,,,,
cae017ec488e493c8ee0e79d13ec82e8,CUS-443776336,10/1/2018,18.79,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T17:08:19.000+0000,1cd50a6b-6654-4371-b16d-30db7e692030,,Scarborough,WA,115.76 -31.89,
2bd6117bddc844f5ac8855d23129908f,CUS-3378712515,10/1/2018,7.14,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T21:59:25.000+0000,eadb5e95-81b4-4752-98d5-9c74e53bc053,,Hawthorn East,VIC,145.05 -37.83,
72b637ab14664529803cd82c73e021c2,CUS-261674136,10/1/2018,12.54,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T21:30:51.000+0000,8cd7c6bf-1c7d-42fe-a840-6ec0ced67fc6,,Boggabri,NSW,150.04 -30.71,
895ee620f9224c5daf5e5d7e1e14db76,CUS-537508723,10/1/2018,19.62,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T21:16:34.000+0000,6fb13b2f-e45e-414d-ac6d-b1bc2771aae5,,Heidelberg,VIC,145.07 -37.76,
9309a25d339d4de2a67425609fed7e51,CUS-3462882033,10/1/2018,40.94,AUD,debit,authorized,1.0,POS,2018-10-01T21:02:17.000+0000,89b0ed33-b6f4-4d2e-be81-c966adebb166,,Armadale,VIC,145.02 -37.86,
f94ce68170c94d86876b9fa4e8317c8e,CUS-2695611575,10/1/2018,17.33,AUD,debit,authorized,1.0,POS,2018-10-01T20:07:29.000+0000,7bb1d766-64e1-49f8-92ef-28cae0beef1d,,Labrador,QLD,153.4 -27.95,
73478d25802d4b2eb1cedc2fa0de7267,CUS-325142416,10/1/2018,1134.0,AUD,debit,posted,,INTER BANK,2018-10-01T20:00:00.000+0000,,,,,,
68575559ac0343709a7099400e064b11,CUS-2819545904,10/1/2018,33.0,AUD,debit,posted,,PAYMENT,2018-10-01T20:00:00.000+0000,,,,,,
512d7e4800f044f7b81b1bf456304fad,CUS-1388323263,10/1/2018,64.0,AUD,debit,posted,,PAYMENT,2018-10-01T20:00:00.000+0000,,,,,,
367c473c1b304c1e9db8f3126dbb8b0d,CUS-2083971310,10/1/2018,5.63,AUD,debit,authorized,1.0,POS,2018-10-01T19:15:59.000+0000,19667bd5-50c6-4a1d-8b11-054bcd023220,,Surry Hills,NSW,151.22 -33.89,
563c4bb6994640ca8286f5e305c8ef20,CUS-3336454548,10/1/2018,55.0,AUD,debit,posted,,PAYMENT,2018-10-01T19:00:00.000+0000,,,,,,
5404718154964673a6d94ce19a95b1d5,CUS-537508723,10/1/2018,12.27,AUD,debit,authorized,1.0,POS,2018-10-01T18:31:39.000+0000,1832158b-7c45-4e17-9239-b7d7fef46969,,Narre Warren,VIC,145.31 -38.02,
6b3ed99b2936435fb4219cce87448774,CUS-3026014945,10/1/2018,21.72,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T21:45:08.000+0000,67a29937-53b9-493d-bcaa-5f8a7c651cd9,,Innaloo,WA,115.79 -31.89,
639f0349b91e48e0be4c2329a269b3b1,CUS-586638664,10/1/2018,47.67,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T12:37:12.000+0000,a12fc7c1-9b11-4282-be9f-68d6797b9d38,,Angaston,SA,139.03 -34.5,
ff35cc1fbeff4443b9658253bc82ffe1,CUS-1271030853,10/1/2018,55.0,AUD,debit,posted,,INTER BANK,2018-10-01T15:00:00.000+0000,,,,,,
2d97242e01894d7eaefa6a09ffb0bb25,CUS-527400765,10/1/2018,170.0,AUD,debit,posted,,PAYMENT,2018-10-01T12:00:00.000+0000,,,,,,
1470a7d22ada4a41acbe14ad2c05d00b,CUS-2695611575,10/1/2018,14.25,AUD,debit,authorized,1.0,POS,2018-10-01T09:41:47.000+0000,aef30de1-c67e-4ab7-8577-2931a4bf3c7e,,Yowah,QLD,144.64 -27.97,
662d21e64e674ad897f91d9bfb97c30b,CUS-537508723,10/1/2018,25.62,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T09:37:05.000+0000,ede2a706-042c-4083-b942-27a85e179de4,,West Melbourne,VIC,144.95 -37.81,
8d18b45fa1004a228046ff10ab3916d0,CUS-164374203,10/1/2018,13.28,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T09:32:23.000+0000,12e295c3-8dac-4db5-9591-9706be85ba90,,Hunters Hill,NSW,151.14 -33.83,
14ca3b4d86f74a32810f6f6daf765fba,CUS-2738291516,10/1/2018,38.08,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T09:27:41.000+0000,eeffa7cc-911b-4755-b44a-12e26618985a,,Sippy Downs,QLD,153.06 -26.73,
8df5bd795285402ea7e783d272a884f2,CUS-2110742437,10/1/2018,14.5,AUD,debit,authorized,1.0,POS,2018-10-01T09:23:00.000+0000,0fcc77fc-b605-42ec-8d1a-87625e577cbd,,Oaklands Park,SA,138.54 -35.02,
16fb7239dfd245788f46f783dc5380a1,CUS-72755508,10/1/2018,11.57,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T09:18:18.000+0000,536bf79f-9a64-4729-bca8-04bd391a024e,,Parramatta,NSW,151 -33.81,
df0349766cf4436e8bf7e946f37c8ffe,CUS-537508723,10/1/2018,14.09,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T09:13:36.000+0000,fb6deb11-16b9-4b98-b77a-f56f29807599,,Narre Warren,VIC,145.31 -38.02,
8c69a4d1a0b24dcab146de8a77f7b8df,CUS-55310383,10/1/2018,57.1,AUD,debit,authorized,1.0,POS,2018-10-01T09:08:55.000+0000,ee91fac0-4244-4b5e-a395-d569f703bee9,,Richmond,VIC,144.99 -37.82,
c881ea8f2877458d94969029ae6f3add,CUS-72755508,10/1/2018,23.26,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T09:04:13.000+0000,9245d2a5-e78e-40cf-a459-58cc8142ca90,,Lindfield,NSW,151.17 -33.77,
ea39d3ea66f54e6f8ae2c64d46358f80,CUS-51506836,10/1/2018,39.0,AUD,debit,posted,,INTER BANK,2018-10-01T09:00:00.000+0000,,,,,,
0d6278e691724e01876c4956c4537083,CUS-2663907001,10/1/2018,45.34,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T08:57:46.000+0000,c9dfa914-365a-4484-a67c-5e5566f3ed2b,,Sydney,NSW,151.21 -33.87,
d5dbd8cf4a36434c959b9bcfdbbb261f,CUS-1478398256,10/1/2018,54.33,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T08:35:33.000+0000,a026ca96-21a2-4e81-83c9-e3e9f3644bc0,,Bundoora,VIC,145.04 -37.72,
65f145967b714fb7bd2cab62fd8c308d,CUS-1271030853,10/1/2018,37.08,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T08:13:19.000+0000,2d154558-1365-4551-9df7-6b05aa0b41b4,,South Yarra,VIC,145 -37.84,
cbac1b4b1d314d63b3054277a3b949a7,CUS-2376382098,10/1/2018,30.21,AUD,debit,authorized,1.0,POS,2018-10-01T12:13:57.000+0000,268615ad-6188-49e6-87b9-9745897e6dad,,Sydney,NSW,151.21 -33.87,
0588ed5db65a49b3a4728e66677a86d6,CUS-2142601169,10/1/2018,8.21,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T07:19:59.000+0000,a06611b8-173d-42ec-8cc6-874fa5d6fee5,,Sydney,NSW,151.21 -33.87,
8811312934164b69afb6c6d1e02b8dff,CUS-2650223890,10/1/2018,35.0,AUD,debit,posted,,PAYMENT,2018-10-01T06:00:00.000+0000,,,,,,
c2aa540c159946d099d29005357c9cfb,CUS-2283904812,10/1/2018,34.0,AUD,debit,posted,,PAYMENT,2018-10-01T05:00:00.000+0000,,,,,,
19743614099a4d6d9a63b1b4ad5d3f5c,CUS-1271030853,10/1/2018,66.0,AUD,debit,posted,,PAYMENT,2018-10-01T04:00:00.000+0000,,,,,,
3a565ede90d845d8936af6342e2bc331,CUS-1928710999,10/1/2018,24.0,AUD,debit,posted,,INTER BANK,2018-10-01T03:00:00.000+0000,,,,,,
eee15b6732fa4f2eafc74f92b77de5e8,CUS-1790886359,10/1/2018,33.0,AUD,debit,posted,,INTER BANK,2018-10-01T03:00:00.000+0000,,,,,,
404d08614d8a4dfa991bcfaec12ee79d,CUS-4142663097,10/1/2018,10.65,AUD,debit,authorized,0.0,POS,2018-10-01T02:09:59.000+0000,4179a6ae-b81c-4c3f-82bb-e9868d7d1437,,Helensvale,QLD,153.32 -27.9,
ba88c103199c4464adc354c940c5b4c0,CUS-2688605418,10/1/2018,163.0,AUD,debit,posted,,PAYMENT,2018-10-01T02:00:00.000+0000,,,,,,
0c9bdb3d9298473b9f47dc08988c8d7a,CUS-2142601169,10/1/2018,8.44,AUD,debit,authorized,0.0,POS,2018-10-01T01:26:53.000+0000,aee28413-5126-40ac-909a-2d91cafad528,,Macquarie Park,NSW,151.12 -33.78,
b6683377c1df4b8a860f4cb0d26e71aa,CUS-3026014945,10/1/2018,10.75,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T09:46:28.000+0000,256eb126-d47d-44bd-8696-e324950ca522,,Ceduna,SA,133.67 -32.11,
263f940796e241c5bf3ec01c7f221a33,CUS-2178051368,10/1/2018,50.68,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T09:51:10.000+0000,4486cfb1-b6f7-466b-9473-561db42f46d5,,Alexandria,NSW,151.2 -33.9,
610b3d73c90c4113b8c312ee5343365b,CUS-527400765,10/1/2018,51.0,AUD,debit,posted,,INTER BANK,2018-10-01T08:00:00.000+0000,,,,,,
5121c0076e114b89bc8e5d03520901d9,CUS-3904958894,10/1/2018,150.0,AUD,debit,posted,,PAYMENT,2018-10-01T10:00:00.000+0000,,,,,,
1b670d71426f420ca4579068a2cf9e7d,CUS-72755508,10/1/2018,18.54,AUD,debit,authorized,0.0,SALES-POS,2018-10-01T09:55:52.000+0000,a89086cf-e639-43bc-8039-eb0b46ae7fd2,,Melbourne,VIC,144.96 -37.81,
27c48402eadd4df99d2cb2f2c3424a49,CUS-2178051368,10/1/2018,50.1,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T11:50:28.000+0000,ca81094e-ca7c-4d45-b6a6-bcd8fc0d5ac8,,Frenchs Forest,NSW,151.24 -33.75,
22440aa8f4a94015bc879f0fcbf04786,CUS-2738291516,10/1/2018,24.34,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T11:26:39.000+0000,c9aa63e2-f399-424b-8cd4-0816aa5c11d9,,Woolloongabba,QLD,153.03 -27.49,
79c7885c5c3c43c7a1825652d6c4e119,CUS-2599279756,10/1/2018,40.28,AUD,debit,authorized,1.0,POS,2018-10-01T11:02:51.000+0000,fead27c2-a33d-4870-9cce-29f199b117ad,,Castlemaine,VIC,144.22 -37.06,
ea0b3c15258d418f8ea3461e164ca090,CUS-527400765,10/1/2018,4216.04,AUD,credit,posted,,PAY/SALARY,2018-10-01T11:00:00.000+0000,,0.0,,,,0
cf11b352afb547739a4d084edd6620c0,CUS-2650223890,10/1/2018,862.95,AUD,credit,posted,,PAY/SALARY,2018-10-01T12:00:00.000+0000,,0.0,,,,0
0b57601cd8ba4a92b8df23ed9b1a0cf4,CUS-261674136,10/1/2018,4405.3,AUD,credit,posted,,PAY/SALARY,2018-10-01T11:00:00.000+0000,,0.0,,,,0
4337a81000014a27a73813abb4325f2e,CUS-1617121891,10/1/2018,95.0,AUD,debit,posted,,PAYMENT,2018-10-01T11:00:00.000+0000,,,,,,
71b91722ce8f4177a4be692ebb088fe6,CUS-1614226872,10/1/2018,892.09,AUD,credit,posted,,PAY/SALARY,2018-10-01T11:00:00.000+0000,,0.0,,,,0
b04448ac059c47a5bfda6109c0c7572e,CUS-1609060617,10/1/2018,37.0,AUD,debit,posted,,PAYMENT,2018-10-01T11:00:00.000+0000,,,,,,
bb06f705ce504d80a938db65fb606b04,CUS-1147642491,10/1/2018,46.0,AUD,debit,posted,,PAYMENT,2018-10-01T11:00:00.000+0000,,,,,,
95b82a9d2b634dfdb68b1af19eabbe32,CUS-1147642491,10/1/2018,1711.39,AUD,credit,posted,,PAY/SALARY,2018-10-01T11:00:00.000+0000,,0.0,,,,0
fb8d68d647424a05a5253d92ad8775d7,CUS-3249305314,10/1/2018,42.0,AUD,debit,posted,,PAYMENT,2018-10-01T11:00:00.000+0000,,,,,,
1b1ae2152aad4a6092b51a5aeb413d98,CUS-1117979751,10/1/2018,16.98,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T10:54:07.000+0000,c8c5a63c-993b-4f10-9905-efc03c2be02c,,Balwyn North,VIC,145.07 -37.79,
cff671f9cbaf4d86ab3d19c03cc0c1ef,CUS-1117979751,10/1/2018,3578.65,AUD,credit,posted,,PAY/SALARY,2018-10-01T11:00:00.000+0000,,0.0,,,,0
3e487c99b8994ead93ff02643220679f,CUS-1196156254,10/1/2018,16.85,AUD,debit,authorized,1.0,SALES-POS,2018-10-01T10:07:27.000+0000,91349a57-c0c6-4868-9eec-a27f0f65df7f,,Everard Park,SA,138.58 -34.95,
